OTHER DISCLOSURES,BANK,Column,COMPANY,Column,GROUP,Column
,"31st Dec,
2019
Audited
Shs ‘000","31st Dec,
2018
Audited
Shs ‘000","31st Dec,
2019
Audited
Shs ‘000","31st Dec,
2018
Audited
Shs ‘000","31st Dec,
2019
Audited
Shs ‘000","31st Dec,
2018
Audited
Shs ‘000"
,,"9,271,261
2,122,623",,"-
-",,
,"30,515,948",,-,,"33,658,667",
,"6,207,777",,-,,"6,697,150",
,"24,308,171","7,148,638
5,411,943",-,"-
-","26,961,517",
,"10,318,641",,-,,"12,114,762",
,"13,989,530","1,736,695",-,-,"14,846,755",
,"13,989,530","1,736,695",-,-,"14,846,755",
,-,-,-,-,-,
,,"5,480,306
2,728,439",,"-
-",,
,"14,211,932",,-,,"14,371,749",
,"5,150,274",,-,,"5,487,678",
,"19,362,206","8,208,745",-,-,"19,859,427",
,,"22,435,906
9,343,024
-",,"-
-
-",,
,"49,607,900",,-,,"54,413,720",
,"5,003,287",,-,,"5,003,287",
,-,,-,,-,
,"54,611,187","31,778,930",-,-,"59,417,007",
,,"25,276,163
1,000,000",,"-
-",,
,"62,561,322",,-,,"63,835,814",
,"1,000,000",,-,,"1,000,000",
,"61,561,322","24,276,163",-,-,"62,835,814",
,"2,620,795","3,456,295",-,-,"2,820,173",
,"65,182,117","28,732,458",-,-,"66,655,987",
,"350,879,900","160,962,878
13.80%
8.00%",,"-
-","384,348,562",
,17.69%,,-,,16.88%,
,8.00%,,-,,8.00%,
,9.69%,5.80%,-,-,8.88%,
,17.83%,"15.70%
10.50%",-,"-
-",16.61%,
,10.50%,,-,,10.50%,
,7.33%,5.20%,-,-,6.11%,
,18.58%,"17.85%
14.50%",-,"-
-",17.34%,
,14.50%,,-,,14.50%,
,4.08%,3.35%,-,-,2.84%,
,18.55%,"13.80%
15.70%
18.00%",-,"-
-
-",17.76%,
,18.69%,,-,,17.47%,
,19.44%,,-,,18.21%,
,,"47.46%
20.00%",,"-
-",,
,50.95%,,-,,51.83%,
,20.00%,,-,,20.00%,
,30.95%,27.46%,-,-,31.83%,
