Category,Intended Impact,SDG Contribution
Products & Services,"#1: Promote financial inclusion through retail and digital
banking",SDG 8
,#2: Expand green and sustainable financing activity,SDG 6 SDG 7 SDG 8 SDG 9
Business Operations,"#3: Reduce carbon footprint and promote a sustainable
supply chain",SDG 12 SDG 13
,#4: Develop a high-performance employee culture,SDG 4 SDG 5 SDG 8
Social/Community Objectives,"#5: Empower communities by advancing financial literacy
and promoting environmental responsibility",SDG 4 SDG 15
