Objective,Key considerations
"1) Strategy Development
and Capital Planning","• Monitoring the execution of the Group’s business plans and budgets and
advising on and reviewing the implementation of the 2018 – 2022 strategy;
• Reviewing, advising on and approving significant matters with a bearing on the
Group’s capital position;
• Reviewing comprehensive market updates and recommending actions for
implementation against the strategic plans;
• Considering updates and advising on the digital strategy; and
• Considering and recommending for shareholder approval the dividend payout."
2) Group Performance,"• Monitoring and reviewing updates of the entire Group’s performance against the
set business targets and strategies and providing guidance on improvements on
a quarterly basis at a minimum; and
• Considering and approving the financial reports and accounting policies in use."
"3) Internal Controls and
Compliance","• Reviewing, recommending and approving the policies and systems for internal
controls;
• Appointing the external auditor, reviewing and approving the internal and
auditors’ work plans and guiding on the recommendations made by the auditors
for improvement of operational controls;
• Considering and recommending measures for risk control as advised by the
internal audit and risk management and compliance functions;
• Reviewing the level of compliance to laws, regulations and internal policies; and
• Establishing relevant policies to prudently manage the Group’s business
activities."
4) Governance and Ethics,"• Reviewing the Group’s Board and its committees’ composition, Charter and
Terms of Reference against regulatory requirements and business needs;
• Monitoring compliance with good governance principles and practices and
implementing measures for adherence thereof;
• Reviewing the Group’s ethical policies, monitoring and reinforcing the ethical
practices by internal stakeholders and avoiding conflicts of interest;
• Undertaking continuous professional development and targeted training on
governance, business management and technical areas;
• Reviewing, recommending and approving changes to the governance, risk
and compliance policies including those on people and talent management,
succession planning and diversity; and
• Undertaking an evaluation of the Group’s Board, its committees, Executive
Management’s and the Group Company Secretary’s effectiveness
and monitoring the implementation of the previous year’s evaluation
recommendations."
