Emerging Concern,Impact on Material Topic,NCBA Response
"Evolving Reporting &
Disclosure Landscape","On 26 June 2023 the International
Sustainability Standards Board (ISSB released
its first two International Sustainability
Disclosure Standards - IFRS S1 (General
Requirements for Disclosure of Sustainability-
related Financial Information) and IFRS S2
(Climate-related Disclosures) that become
effective for periods beginning on or after 1
January 2024 in our markets of operation.","We have conducted a gap assessment
of our current reporting suite, to ensure
alignment to IFRS S1 and S2. This will
enhance transparency, accountability, and
investor confidence."
"Standardized Impact
Disclosures","The global demand for impact-related
reporting is growing as investors, regulators,
and other stakeholders increasingly seek
transparency on how businesses contribute to
sustainable development.","NCBA joined a network of global financial
institutions, capital markets participants
and industry stakeholders in the Impact
Disclosure Taskforce. NCBA Kenya became
the first African Financial Institution to
apply the new Impact Disclosure Guidance
launched in 2024, by publishing its
Sustainable Development Impact Disclosure
(SDID)."
Emerging Concern,Impact on Material Topic,NCBA Response
"Evolving Regulatory
Landscape","Various reviews and updates to Central Bank
requirements on climate related financial risk
reporting:
• Central Bank of Kenya –
> The Kenya Green Finance Taxonomy
> Climate Risk Disclosure Framework for
the Banking sector August 2024 by
Central Bank of Kenya
• Bank of Rwanda –
> November, 2023, Guidelines on
Climate-related and Environmental
Financial Risk Management
• Bank of Tanzania –
> January, 2025 Guidelines on
Climate-related Financial Risks
Management and Disclosures
• Bank of Uganda
-2025-Minimum disclosure requirements
under IFRS S1 and S2 on sustainability and
climate related financial risks.
The emergence of new ESG-related laws that
are reshaping regulatory landscapes, requiring
businesses to enhance transparency, adopt
sustainable practices, and align with evolving
compliance standards, for example the
Sustainable Waste Management Act, 2022.","Our sustainability reporting approach is
centralized at the Group with targeted
support to each of our subsidiaries, to
ensure consistency across markets while
adapting to local regulatory requirements
and applying local climate scenarios and
data.
We have instituted streamlined data
collection methods to ensure knowledge
is managed and handled appropriately
for effective decision making across the
respective governance mechanisms.
This includes embedding climate risk in
subsidiary governance processes."
Business Alignment,"The Group's acquisition of AIG Insurance
Kenya which rebranded to NCBA Insurance
Group “NCBA-IG”, in March 2025, marks the
strategic expansion of our insurance portfolio,
reinforcing our position in the market. This
acquisition enhances our ability to offer
tailored climate solutions, expand our climate
data modelling & analytics, strengthening our
customer base.","The Group instituted a double materiality
exercise with NCBA Insurance to identify
business-specific material topics and priority
areas of focus in support of the Group’s
Sustainability Strategy - Change the Story
which will be operationalised in FY2025."
