Column,NIC Group PLC,NIC Bank Kenya PLC
"Board of Directors
*Executive Directors","J P M Ndegwa (Chairman)
J Gachora* (Group Managing
Director)
A S M Ndegwa
G A Maina
P V Shah
E N Ngaine
P R Lopokoiyit
J Somen
D Abwoga*","J P M Ndegwa (Chairman)
F M Mbiru (Vice Chairman)
J Gachora* (Group Managing
Director)
F N Mwanzia
A S M Ndegwa
I P Ochola-Wilson
G A Maina
A J Dodd*
P V Shah
K Thuo
E N Ngaine
P R Lopokoiyit
L R W Ndegwa
J Somen"
Number of Independent Directors,3 out of 9 (33.33%),4 out of 14 (28.57%)
,Audit & Risk Committee,Audit Committee
Audit Committee,"P R Lopokoiyit – Chairman
G A Maina
E N Ngaine","P R Lopokoiyit – Chairman
L R W Ndegwa
K Thuo"
Governance & Nominations Committee,"E N Ngaine – Chairman
G A Maina
A S M Ndegwa
P R Lopokoiyit
J Somen","E N Ngaine – Chairman
G A Maina
A S M Ndegwa
P R Lopokoiyit
J Somen"
Executive / Strategy Committee,"A S M Ndegwa – Chairman
G A Maina
P V Shah
J Somen
J Gachora
D Abwoga",
ICT Committee,"J Somen – Chairman
E N Ngaine
P R Lopokoiyit",
Credit Risk Committee,,"E N Ngaine – Chairman
F M Mbiru
P V Shah
A S M Ndegwa
J Gachora
A J Dodd"
Risk Management Committee,,"G A Maina – Chairman
L R W Ndegwa
F N Mwanzia"
HR & Compensation Committee,,"I P Ochola-Wilson – Chairman
A S M Ndegwa
G A Maina"
"Notes:
• The Independent Non-Executive Directors all have a tenure of less than nine (9) years on the Board; and
• Five (5) Directors resigned from the Board of NIC Group PLC on 21st March 2018 while three (3) new Directors were appointed to
the same Board on the same date. Three (3) new Directors were appointed to the Board of NIC Bank Kenya PLC on 8th February
2018. The details of the reconstitution of the Board are contained within the Statement on Corporate Governance of this Report.",,
