"31st Mar, 2008","31st Dec,2007","31st Mar, 2007"
Unaudited,Audited,Unaudited
Shs '000,Shs '000,Shs '000
"457,433","5 02,813","3 35,871"
"4,778,881","1 ,916,395","2 ,210,913"
"2 ,172,097","2 ,411,997","1 ,579,686"
-,-,-
"4 71,524","1 03,184","5 56,246"
"3,513,061","2 ,579,207","3 ,202,167"
"209,091",-,-
-,-,-
"23,696,461","2 2,209,186","1 7,753,203"
-,-,-
-,6 3,-
-,-,-
"277,666","2 77,666","8 0,501"
-,-,-
-,-,-
"4 58,211","5 06,813","4 93,275"
"7 ,969","8 ,000","8 ,094"
"4 4,045
-
-
8 97,955","4 5,203
-
-
8 35,815","5 4,043
-
-
5 39,712"
"3 6,984,394","3 1,396,342","2 6,813,711"
"-
2 8,985,172
1 ,470,000
-
-
6 63,693
65,195
1 80,867
-
7 ,319
-
6 66,823","-
2 4,805,595
-
-
-
6 50,100
1 34,872
9 0,808
-
7 ,319
-
9 72,451","-
2 2,087,729
3 15,000
6 1,898
-
2 80,482
4 6,865
1 44,867
-
3 2,958
-
6 48,031"
"3 2,039,069","2 6,661,145","2 3,617,830"
"1 ,483,462
3 40,946
1 01,775
2 ,563,623
2 18,165
2 37,354
-","1 ,483,462
3 40,946
1 01,775
2 ,368,922
2 02,738
2 37,354
-","4 12,073
2 99,943
1 04,768
2 ,072,359
1 50,150
1 56,588
-"
"4 ,945,325","4 ,735,197","3 ,195,881"
"3 6,984,394","3 1,396,342","2 6,813,711"
