Group Profit Before Tax,"18,919","11,608",63%
Exceptional Items,(725),(547),(33%)
Group Profit Before Tax after Exceptional Items,"18,194","11,061",64%
Tax,"(5,390)","(4,535)",19%
Group Profit after Tax,"12,804","6,526",96%
