Value,Metric (2024)
KES 1.4 billion,Gross Premiums Underwritten
KES 409 million,Insurance Service Results
KES 141 million,Investment Income
KES 191 million,Profit Before Tax
82%,Renewal Retention Rate
328%,Capital Adequacy Ratio (CAR)
"> 45,000",Number of Policies Issued
> KES 4.6 trillion,Risks Covered
"AA-(KE) with a stable
outlook",Financial Strength Rating (GCR)
