Buildings,"Furniture,
fittings and
equipment","Motor
vehicles","Work In
progress",Total
Shs `000,Shs `000,Shs `000,Shs `000,Shs `000
"370,000","1,680,733","48,546","10,943","2,110,222"
-,"105,051",-,"68,612","173,663"
-,"69,733",-,"(69,733)",-
-,-,"(12,151)",-,"(12,151)"
"370,000","1,855,517","36,395","9,822","2,271,734"
"370,000","1,855,517","36,395","9,822","2,271,734"
-,"102,162","18,151","123,119","243,432"
-,"122,593",-,"(122,593)",-
-,"(5,591)","(7,671)",-,"(13,262)"
"370,000","2,074,681","46,875","10,348","2,501,904"
"144,617","2,074,681","46,875","10,348","2,276,521"
"225,383",-,-,-,"225,383"
"370,000","2,074,681","46,875","10,348","2,501,904"
"13,214","1,232,052","21,181",-,"1,266,447"
"13,215","179,240","6,877",-,"199,332"
-,-,"(3,645)",-,"(3,645)"
"26,429","1,411,292","24,413",-,"1,462,134"
"26,429","1,411,292","24,413",-,"1,462,134"
"13,214","172,075","6,259",-,"191,548"
-,"(5,401)","(7,671)",-,"(13,072)"
"39,643","1,577,966","23,001",-,"1,640,610"
"330,357","496,715","23,874","10,348","861,294"
"343,571","444,225","11,982","9,822","809,600"
