"30,100,458",Column,"12,028,970"
"(5,046,435)",,-
"25,054,023","25,440,202
41,704","12,028,970"
"87,025",,-
,"25,481,906
(4,025,273)",
"25,141,048",,"12,028,970"
"(3,275,281)",,"(123,269)"
"21,865,767","21,456,633","11,905,701"
,"21,456,633
-",
"21,881,139",,"11,905,701"
"(15,372)",,-
"21,865,767","21,456,633","11,905,701"
,13.02,
13.28,,7.23
"21,865,767","21,456,633","11,905,701"
,"(2,660,095)
2,035,026",
"2,327,070",,-
"(2,597,810)",,-
"(270,740)","(625,069)
-",-
"106,020",,-
,-,
"106,020",,-
"(164,720)","(625,069)",-
"21,701,047","20,831,564","11,905,701"
,"20,831,564
-",
"21,716,419",,"11,905,701"
"(15,372)",,-
"21,701,047","20,831,564","11,905,701"
