"31st Dec, 2013 31st Dec, 2012
Audited Audited
Shs '000 Shs '000","31st Dec, 2013 31st Dec, 2012
Audited Audited
Shs '000 Shs '000"
"6,597,413 3,551,222
2,076,487 1,218,521","5 ,082,652 3 ,209,075
1 ,943,931 1 ,158,201"
"4 ,520,926 2 ,332,701
2,592,033 1,652,986","3 ,138,721 2 ,050,874
1 ,996,325 1 ,583,147"
"1 ,928,893 6 79,715","1 ,142,396 4 67,727"
"1,928,893 679,715","1,142,396 4 67,727"
- -,- -
"1,133,253 1,327,022
822,165 664,900","1 ,133,253 1 ,302,049
7 81,758 6 20,288"
"1 ,955,418 1 ,991,922","1 ,915,011 1 ,922,337"
"15,173,538 14,112,010
24,858,686 10,904,232
132,300 -","1 4,502,794 1 3,486,049
2 4,858,686 1 0,366,805
- -"
"4 0,164,524 2 5,016,242","3 9,361,480 2 3,852,854"
,"14,108,111 1 2,569,308"
,"1,000,000 1 ,000,000"
,"1 3,108,111 1 1,569,308"
,"7 67,875 6 77,140"
,"1 4,875,986 1 3,246,448"
,"9 5,219,586 8 0,565,229
16.79% 16.29%
8.00% 8.00%"
,8.79% 8.29%
,"14.82% 15.60%
8.00% 8.00%"
,6.82% 7.60%
,"15.62% 16.44%
12.00% 12.00%"
,3.62% 4.44%
,"28.54% 35.27%
20.00% 20.00%"
,8.54% 15.27%
