"30,805","11,140","153,610","19,440","214,995"
-,-,-,-,-
"30,805","11,140","153,610","19,440","214,995"
"(130,562)",-,-,-,"(130,562)"
-,"5,064","(62,789)","(4,257)","(61,982)"
-,-,"137,428","(5,968)","131,460"
-,"(5,282)",-,-,"(5,282)"
"(130,562)",(218),"74,639","(10,225)","(66,366)"
"(130,562)",(218),"74,639","(10,225)","(66,366)"
-,-,"23,863","3,686","27,549"
"(130,562)",(218),"98,502","(6,539)","(38,817)"
"116,353",-,-,-,"116,353"
-,-,"(63,305)",-,"(63,305)"
"116,353",-,"(63,305)",-,"53,048"
-,-,-,-,
"27,203","10,537","187,358","12,765","237,863"
"(10,607)",385,"1,449",136,"(8,637)"
"16,596","10,922","188,807","12,901","229,226"
