"19,045,550",-,-,-,-,"19,045,550"
"24,581,757",-,"52,074",-,-,"24,633,831"
"1,722,396","6,690,508","36,648,666","143,696,257","123,248,348","312,006,175"
"37,517,190","12,831,292","980,337","2,457,542",-,"53,786,361"
"8,771,274","409,919","638,395","3,879,195","6,646,373","20,345,156"
"76,085,463","18,129,028","39,241,271","152,374,855","120,605,608","406,436,225"
"18,089",-,-,-,-,"18,089"
"553,733",-,-,-,-,"553,733"
"16,688,226",-,-,-,-,"16,688,226"
"184,983,678","38,060,747","77,560,743","302,407,849","250,500,329","853,513,346"
"354,639,356","74,015,968","84,360,776","772,953","585,521","514,374,574"
"6,076,611","9,342,537",-,-,-,"15,419,148"
"2,826,882","1,280,934","50,978",-,-,"4,158,794"
"15,517,783",-,"996,517","95,933",-,"16,610,233"
"433,221","139,156","686,172","2,660,433","582,350","4,501,332"
"171,661","2,030,243","1,904,602","7,970,017","2,024,898","14,101,421"
"379,665,514","86,808,838","87,999,045","11,499,336","3,192,769","569,165,502"
"(194,681,836)","(48,748,091)","(10,438,302)","290,908,513","247,307,560","284,347,844"
"(7,193,353)","(12,706,951)","(16,247,744)","(6,912,385)","(8,984,304)","(52,044,737)"
"(17,244,520)",-,-,-,-,"(17,244,520)"
"(24,437,873)","(12,706,951)","(16,247,744)","(6,912,385)","(8,984,304)","(69,289,257)"
"(219,119,709)","(61,455,042)","(26,686,046)","283,996,128","238,323,256","215,058,587"
