Column,Column,REVENUE,% CONTRIBUTION,EFFICIENCY,RETURNS*
,,TOTALINCOME,,COST TO INCOMERATIO,RETURN ON AVERAGEEQUITY
"s
e
i
r
a
i
d
i
s
b
u
S
g
n
i
k
n
a
B",NCBAK,"28.3Bn
KES",80.2%,51.7%,18.1%
,NCBAU,"2.3Bn
KES",6.5%,64.0%,19.0%
,,"1.4Bn
KES",4.0%,88.6%,7.9%
,NCBAT,,,,
,,"1.6Bn
KES",4.5%,54.8%,"6.9
%"
,NCBAR,,,,
Non-Bank Subsidiaries,,"1.7Bn
KES",4.8%,"41.2
%","34.5
%"
Group,,"35.3Bn
KES",,52.5%,"18.9
%"
