Column,Composition,Key purpose and responsibilities
"eettimmoC
&
evitucexE
ygetartS
draoB","- I Awuondo
(Chairman)
- S Armitage
- A S M Ndegwa","• Strategy formulation and general operations oversight;
• Approval of significant capital projects, periodic strategic plans, and key policy
guidelines;
• Entrepreneurial leadership within a framework of prudent and effective controls;
• Monitoring Group performance against strategic plans and objectives; and
• Reviewing and monitoring the Group’s capital position, approving proposals for
investments and allocating capital and other resources as required."
"TCI eettimmoC
draoB","- J Somen
(Chairman)
- I Awuondo","• Embedding an appropriate ICT governance and risk management framework that
suits the business needs;
• Alignment of ICT strategy with the business strategy and significant policies of the
Group;
• Reviewing and monitoring the implementation of corrective actions from the
periodic internal and external audits on ICT systems and practices; and
• Setting tolerance levels and monitoring the established ICT ethical and integrity
standards to entrench a culture that emphasizes prudent ICT risk management."
"ksiR
dna eettimmoC
tiduA
draoB","- M K. R. Shah
(Chairman)
- Hon. A H. Abdi
- P R. Lopokoiyit","• Review of the accounting policies, financial reporting and regulatory compliance
practices;
• Evaluation of the effectiveness of internal control systems;
• Appointment, supervision and performance appraisal of the independent external
and internal auditors;
• Review and approval of the scope and plans for the external and internal audit
activities and the budget for the Internal Audit review activities;
• Monitoring implementation of corrective action plans for internal controls as
identified by the Committee, from audit reviews and/or regulatory inspections; and
• Setting and monitoring adherence to risk parameters and tolerance limits through
establishment of appropriate strategy, policies and programs.
To maintain independence, objectivity and professionalism of the external auditor, the
audit firms is rotated every six to nine years while the audit partner is rotated not more
than five years after having taken up the assignment. The audit firm is appointed by the
shareholders subject to the approval by the Central Bank of Kenya."
"eettimmoC
dna
ecnanrevoG
snoitanimoN
draoB","- D A. Oyatsi
(Chairman)
- P R. Lopokoiyit
- E Ngaine","• Monitoring adherence by the Board and Management on good corporate
governance practices as enshrined in the Group’s constitutive documents and
policies and applicable regulatory requirements;
• Reviewing the Board’s composition to ensure availability of the required skills,
expertise and experience to grow and sustain the business and uphold the principles
and practices of good Corporate Governance, including the status of independent
non-executive directors;
• Oversight of the Board’s annual performance evaluation, remuneration and
assessment of the extent of conflict of interest (if any) posed by Directors’ other
interests or duties;
• Ensuring seamless transition in the event of changes to the Board’s membership;
• Ensuring shareholder, and where applicable regulatory, approval for appointments
to the Board;
• Induction program for new members and continuous professional development
programs for the Board; and
• Oversight of the assessment of corporate governance practices by auditors and
regulators and implementation of enhancements thereof."
