Our Commitment,2023,2024
"We will mobilise & steer KES 30 Billion
of Green & Sustainable Financing to
accelerate the transition.","KES 2 Billion EV Fund Portfolio
Analysis","USD 50 million (KES. 6.5 billion)
sustainable finance mobilized through
a partnership with Proparco; 40%
utilization."
"We will invest in deploying EV
charging stations across the region.","4 Charging Stations installed (Nairobi
and Kigali)","6 Charging Stations (Nairobi, Kigali
and Kampala)"
"We will develop a “Change the Story”
knowledge platform to inspire and
capacitate the public towards change",Ongoing,"Commenced the development of
Change the Story microsite."
