OTHER DISCLOSURES,BANK,Column,COMPANY,Column,GROUP,Column
,"31st Dec,
2024
Audited
Shs ‘000","31st Dec,
2023
Audited
Shs ‘000","31st Dec,
2024
Audited
Shs ‘000","31st Dec,
2023
Audited
Shs ‘000","31st Dec,
2024
Audited
Shs ‘000","31st Dec,
2023
Audited
Shs ‘000"
,,"40,462,270
8,696,675",,"-
-",,
,"35,511,838",,-,,"37,151,611",
,"10,490,918",,-,,"10,678,140",
,"25,020,920","31,765,595
13,015,658",-,"-
-","26,473,471",
,"10,318,955",,-,,"11,326,298",
,"14,701,965","18,749,937",-,-,"15,147,173",
,"14,701,965","18,749,937",-,-,"15,147,173",
,-,-,-,-,-,
,,"27,359,737
6,708,789",,"-
-",,
,"22,021,751",,-,,"22,118,429",
,"7,448,251",,-,,"8,135,379",
,"29,470,002","34,068,527",-,-,"30,253,808",
,,"60,133,300
5,464,955
-",,"-
-
-",,
,"45,454,432",,-,,"52,556,442",
,"1,032,086",,-,,"1,032,086",
,-,,-,,"2,019,546",
,"46,486,518","65,598,255",-,-,"55,608,074",
,,"82,120,807
1,000,000",,"-
-",,
,"89,085,488",,-,,"102,870,319",
,"1,000,000",,-,,"1,000,000",
,"88,085,488","81,120,807",-,-,"101,870,319",
,-,-,-,-,"240,247",
,"89,085,488","82,120,807",-,-,"103,110,566",
,,"468,837,218
15.96%
8.00%",,"-
-",,
,"437,823,635",,,,"485,702,713",
,19.82%,,-,,20.29%,
,8.00%,,-,,8.00%,
,11.82%,7.96%,-,-,12.29%,
,20.35%,"17.52%
10.50%",-,"-
-",21.18%,
,10.50%,,-,,10.50%,
,9.85%,7.02%,-,-,10.68%,
,20.35%,"17.52%
14.50%",-,"-
-",21.23%,
,14.50%,,-,,14.50%,
,5.85%,3.02%,-,-,6.73%,
,,"52.30%
20.00%",,"-
-",,
,56.01%,,-,,54.08%,
,20.00%,,-,,20.00%,
,36.01%,32.30%,-,-,34.08%,
