STAKEHOLDER,MATERIAL ISSUES,RISK & IMPACT,OPPORTUNITIES,DESIRED OUTCOMES
"Shareholders
and investors","• Competitive returns
on investment &
equity.
• Winning strategy
that supports
successful
achievement of the
Group’s goals.","• Challenging
operating
environment,
including
legislative change
effects, which
adversely affect
strategy and/or
performance.","• Strong balance sheet -
supportive of business
growth.
• Strong fundamentals –
supportive of financial
requirements and
obligations.
• Strong collaborative
associations with
industry associations and
regulators.","• Increased share
value.
• Enhanced return
on investment and
return on equity."
Customers,"• Secure, stable
and convenient
transactional
platforms.
• Value for money.
• Service excellence
and personalised
financial solutions.
• Fair and transparent
treatment.","• System downtime
- inconvenience
and losses.
• Rapid changes
in technology -
obsolescence.
• Loss of trust -
reduced business
and customer
attrition.","• Scale distribution
channels - increased
market share.
• Flexible & convenient
products – increased
uptake.
• Brand ambassadors -
promote NCBA.","• Distinguished
brand known
for Customer
Excellence.
• Compelling
Customer Value
Proposition that
enhances brand
loyalty and
business growth."
Society,"• Participation in
environmental and
social improvement
initiatives.
• Sustainable
investment -
community growth.","• Harmful business
practices
– adverse
reputation.
• Loss of market
share to
competitors
engaged in
community
issues.","• Drive real and meaningful
change by addressing key
social and environmental
issues.","• Establishment
of long-term
sustainable
practices that are
supportive of our
communities.
• Enhanced brand
image and affinity."
Employees,"• Skills relevance and
career growth.
• Employment
sustainability.
• Conducive
environment.
• Progressive culture.
• Open
communication.","• Discontentment,
demotivation and
disengagement.
• High staff
turnover.
• Skills shortage.","• Strong legacy - diversity
and inclusivity.
• Robust training and
career development
programs.
• Corporate values that
encourage openness and
trust in interactions.","• Highly engaged,
performing and
cohesive workforce.
• Reputation for
staff development
and growth in an
ever changing
and competitive
business
environment."
"Government/
regulators","• Compliance to the
Laws of Kenya.","• Regulatory
sanctions – loss
of operating
license.
• Reputational risk.","• Reputation as a law
abiding, transparent
and trusted business
partner – greater growth
opportunities.","• Exceptional
corporate
governance
standards and
reputation."
