Objective,Key considerations
"4. Internal Controls and
Compliance","• Reviewing, recommending and approving the policies and
systems for internal controls;
• Reviewing and approving the internal and auditors’ work plans
and guiding on the recommendations made by the auditors for
improvement of operational controls;
• Considering and recommending measures for risk control
as advised by the internal audit and risk management and
compliance functions;
• Reviewing the level of compliance to laws, regulations and
internal policies; and
• Establishing relevant policies to prudently manage the Group’s
business activities."
5. Governance and Ethics,"• Reviewing the Group’s Board and its committees’ composition,
Charter and Terms of Reference against regulatory requirements
and business needs;
• Monitoring compliance with good governance principles and
practices and implementing measures for adherence thereof;
• Reviewing the Group’s ethical policies, monitoring and
reinforcing the ethical practices by internal stakeholders and
avoiding conflicts of interest;
• Undertaking continuous professional development and targeted
training on governance, business management and technical
areas;
• Reviewing, recommending and approving changes to the
governance, risk and compliance policies including those on
people and talent management, succession planning and
diversity; and
• Undertaking an evaluation of the Group’s Board, its committees,
Executive Management’s and the Group Company Secretary’s
effectiveness and monitoring the implementation of the previous
year’s evaluation recommendations."
6. Customer Satisfaction,"• Reviewing updates and guiding on customer satisfaction
strategies;
• Monitoring and recommending measures to improve on
customer service and proper integration of processes in light of
the merger; and
• Monitoring and recommending measures for the improvement
of policies and practices for the protection of consumers and
enhancement of the Group’s services for consumers’ benefit."
7. Stakeholder Engagement,"• Identifying and considering the Group’s stakeholders needs in
Board decisions;
• Establishing mechanisms for engagement with the Group’s
stakeholders on key matters affecting them; and
• Proactively communicating with the key stakeholders to
ensure that appropriate disclosures have been made for
their consideration both on the merger processes and group
operations."
