Investors,Providers of our capital and funding
How we engaged,Overview
"Group MD and Group Executive took part in
various engagement activities that included
quarterly results presentations and dedicated
investor briefings.","Dialogue focused on progress against our strategic objectives and
financial targets. We held several meetings over the year, providing
investors the opportunity to give direct feedback to the Board."
Customers,Retail and Corporate clients we serve
How we engaged,Overview
Customer surveys,"We conducted customer surveys in 2024, enabling us to gain insights into
our customer’s satisfaction and expectations; to identify areas for service
improvement and innovation, to strengthen customer relationships and
inform product development and tailor financial solutions to customer
needs."
"Digital channels – including through our
website and written communication","Our Group website attracted significant traffic, with many customers
actively engaging with our various features. Through our social media
channels, we connected with a wide audience, enabling us to share
transparent information about our initiatives and enhance customer
experience through streamlined service requests and continuous
feedback."
"Customer events:
1. NCBA Economic Forum
2. Solar
3. Webinars","We hosted a number of impactful events in the course of the year
aimed at building collective knowledge and enhancing awareness of
our services. Our Solar PV forum provided a platform for our clients to
connect with industry leaders, technical experts and solution providers.
We educated our clients on solar financing, options and benefits and
strengthened partnerships with solar energy providers. We also hosted
the 7th edition of our annual NCBA Economic Forum on the theme –
“Navigating Uncertainty” with expert insights on Kenya’s path forward."
Regulators,"Responsible for overseeing and enforcing compliance with legal,
financial, environmental, or sector-specific regulations"
How we engaged,Overview
"I. Engagement with the various Central
Banks on emerging sustainability and
climate-related guidelines: Specific
engagements included: Kenya Green
Finance Taxonomy by Central Bank of
Kenya.
ii Climate Risk Disclosure Framework for the
Banking sector August 2024 by Central
Bank of Kenya.
iii Guidelines on reporting of sustainability
related risks and opportunities for banks
and financial institutions 2025 by the Bank
of Tanzania.
iv. Guidelines on reporting of climate related
risks and opportunities for banks and
financial institutions 2025 by Bank of
Rwanda.
v. Minimum Disclosure Requirements under
IFRS S1 and S2 on sustainability and
climate related risks 2025 by Bank of
Uganda.","We operate in highly regulated markets which continue to evolve. We
engage directly with all relevant regulatory bodies and embed this in our
business as a priority. with relevant regulatory bodies and embed this in
our business as a priority.
We engage constructively on policy updates and review processes.
We respond to material consultations.
We play a role in helping to define and deliver new frameworks for
reporting and disclosure."
