Column,Column,REVENUE,% CONTRIBUTION,EFFICIENCY,RETURNS*
,,TOTALINCOME,,COST TO INCOMERATIO,RETURN ON AVERAGEEQUITY
"s
e
i
r
a
i
d
i
s
b
u
S
g
n
i
k
n
a
B",NCBAK,"38.3Bn
KES
▼(1%)",81.5%,51.4%,18.4%
,NCBAU,"2.5Bn
KES
▲+10%",5.4%,58.1%,21.9%
,,"2.2Bn
KES
▲+3%",4.7%,75.8%,17.4%
,NCBAT,,,,
,,"2.1Bn
KES
▲+5%",4.4%,53.1%,17.1%
,NCBAR,,,,
Non-Bank Subsidiaries,,"1.9Bn
KES
▲+18%",4.1%,46.5%,26.9%
Group,,"47Bn
KES
▲+1%",,52.4%,20.4%
