Policy,Key Provisions
Code of Conduct and Ethics,"The Code of Conduct and Ethics, which has been published on the
Group’s website (ke.ncbagroup.com), expresses the values that drive
our behavior including addressing ethical issues, integrity on reporting,
adherence to policies and procedures and addressing internal and
external audit matters."
"Board Remuneration,
Attraction and Retention
Policy","The Policy sets guidelines and criteria for the Board’s compensation,
attraction and retention of Directors. The Director’s remuneration policy
and report, including details of their compensation appears on page 92 to
97 of this Report"
Corporate Disclosures Policy,"The policy of the Group is to make adequate disclosure of material
information and to ensure that all communications to the Group’s
stakeholders are timely, complete and accurate and appropriately and
broadly communicated in accordance with all applicable legal and
regulatory requirements."
Conflicts of Interest Policy,"The policy requires:
• new Directors to disclose any actual, potential or perceived conflicts
of interest prior to the Board’s consideration of their appointment;
• non-participation in discussions or decisions in which they have a
conflict of interest; and
• its application to all internal stakeholders of the Group.
The Group Company Secretary maintains a register of all disclosed
conflicts of interest and disclosures are also a standing agenda item at
each Board and Committee meeting."
