Approach,Detail
Compliance,"Adherence to the provisions of the Constitution of Kenya, applicable laws and
regulations, relevant national and international standards and internal policies."
"Structure and
Accountability","Frequent review of Board and Management composition, independence,
competencies, diversity and complementarity, effectiveness, collaboration and
appropriate segregation of duty and delegation of authority."
Disclosures,"Timely, transparent and relevant communication to provide stakeholders with a clear
understanding of our businesses."
Audit and Controls,"Ensuring independence, application of internationally recognised auditing and
accounting principles, supporting well-scoped internal and external audits,
rotation of external auditors, appropriate composition of the audit committee and
maintenance of robust internal controls."
Outlook,"Alignment of roles, deliverables and remuneration with the long-term interests of
shareholders."
Sustainability,"Optimizing shareholder returns through frequent and forward looking strategy
reviews and adopting the most appropriate and viable plans to promote the long-
term prosperity and sustainability of the Group’s businesses."
Culture,"Upholding the highest levels of integrity in the Group’s culture and practices through
the implementation of a well-defined Code of Conduct and Ethics."
