2012
Shs’000
"11,467,574"
"(5,983,706)"
"5,483,868"
"(297,485)"
"5,186,383"
"1,053,113"
"(64,273)"
"988,840"
"1,323,271"
"520,146"
"8,018,640"
"(1,978,651)"
"(317,932)"
"(1,204,090)"
"(3,500,673)"
"4,517,967"
"(1,481,173)"
"3,036,794"
"2,984,406"
"52,388"
"3,036,794"
Shs 6.03
