-,-,-,-,-
"31,515",-,"596,870","143,631","772,016"
"31,515",-,"596,870","143,631","772,016"
"(237,795)",-,-,-,"(237,795)"
-,-,"(259,045)","(89,692)","(348,737)"
"85,033",-,-,-,"85,033"
-,-,"316,778","(6,319)","310,459"
-,"(55,956)",-,-,"(55,956)"
-,-,-,-,-
"85,033","(55,956)","57,733","(96,011)","(9,201)"
"(152,762)","(55,956)","57,733","(96,011)","(246,996)"
-,"55,956","67,297","8,515","131,768"
"(152,762)",-,"125,030","(87,496)","(115,228)"
"131,018",-,-,-,"131,018"
-,-,"(330,592)",-,"(330,592)"
"(66,688)",-,-,-,"(66,688)"
"64,330",-,"(330,592)",-,"(266,262)"
"(56,917)",-,"391,308","56,135","390,526"
"(56,917)",-,"391,308","56,135","390,526"
