"30th June, 2008
Unaudited
Shs '000","31st Mar, 2008
Unaudited
Shs '000","31st Dec,2007
Audited
Shs '000","30th June, 2007
Unaudited
Shs '000"
"1 ,188,612
2 27,823","1 ,187,253
2 06,558","1 ,156,255
1 88,531","1 ,120,740
1 73,171"
"9 60,789","9 80,695","9 67,724","9 47,569"
"5 33,781","5 10,107","4 79,884","4 26,315"
"4 27,008","4 70,588","4 87,840","5 21,254"
"4 27,008","4 70,588","4 87,840","5 21,254"
-,-,-,-
"8 75,499","5 55,884","4 71,340","4 40,448"
"2 71,349","3 09,709","3 15,361","2 31,684"
"1 ,146,848","8 65,593","7 86,701","6 72,132"
"4 ,673,053","4 ,674,302","4 ,550,164","3 ,378,912"
"6 ,368,708","7 ,731,971",-,-
"1 1,041,761","1 2,406,273","4 ,550,164","3 ,378,912"
"4 ,384,771
2 50,000","4 ,282,964
2 50,000","4 ,058,465
2 50,000","2 ,788,133
2 50,000"
"4 ,134,771","4 ,032,964","3 ,808,465","2 ,538,133"
"2 64,036","2 43,609","2 28,182","1 76,342"
"4 ,648,806","4 ,526,572","4 ,286,647","2 ,964,475"
"3 0,575,977
14.54%
8.00%","2 8,171,550
14.76%
8.00%","2 5,625,430
16.30%
8.00%","2 2,955,692
12.12%
8.00%"
6.54%,6.76%,8.30%,4.12%
"14.34%
8.00%","15.20%
8.00%","15.84%
8.00%","12.15%
8.00%"
6.34%,7.20%,7.84%,4.15%
"15.20%
12.00%","16.07%
12.00%","16.73%
12.00%","12.91%
12.00%"
3.20%,4.07%,4.73%,0.91%
"30.15%
20.00%","30.99%
20.00%","28.68%
20.00%","32.69%
20.00%"
10.15%,10.99%,8.68%,12.69%
