BANK,Column,Column,Column,Column,COMPANY,GROUP,Column,Column,Column,Column
"30th Sep, 2017
Un-audited
Shs '000","30th June, 2017
Un-audited
Shs '000","31st March, 2017
Un-audited
Shs '000","31st Dec, 2016
Audited
Shs '000","30th Sep, 2016
Un-audited
Shs '000","30th Sep, 2017
Un-audited
Shs '000","30th Sep, 2017
Un-audited
Shs '000","30th June, 2017
Un-audited
Shs '000","31st March, 2017
Un-audited
Shs '000","31st Dec, 2016
Audited
Shs '000","30th Sep, 2016
Un-audited
Shs '000"
"1 3,895,404
1 ,840,504","1 3,484,055
1 ,626,192","1 2,963,365
1 ,283,690","1 2,650,315
6 83,839","1 3,214,995
6 49,057","-
-","1 4,702,521
1 ,916,878","1 4,341,928
1 ,688,021","1 3,800,506
1 ,334,166","1 3,587,912
7 04,080","1 4,251,802
6 76,464"
"1 2,054,900
5 ,233,200","1 1,857,863
4 ,827,677","1 1,679,675
4 ,451,064","1 1,966,476
4 ,728,028","1 2,565,938
4 ,768,665","-
-","1 2,785,643
5 ,151,061","1 2,653,907
5 ,132,699","1 2,466,340
4 ,643,679","1 2,883,832
5 ,022,089","1 3,575,338
4 ,978,105"
"6 ,821,700","7 ,030,186","7 ,228,611","7 ,238,448","7 ,797,273",-,"7 ,634,582","7 ,521,208","7 ,822,661","7 ,861,743","8 ,597,233"
"6 ,821,700","7 ,030,186","7 ,228,611","7 ,238,448","7 ,797,273",-,"7 ,634,583","7 ,521,208","7 ,822,661","7 ,861,743","8 ,597,233"
-,-,-,-,-,-,-,-,-,-,-
"5 63,766
2 ,212,160","5 36,672
2 ,173,830","4 74,559
2 ,020,464","4 98,100
1 ,932,600","6 64,607
1 ,815,847","-
-","6 62,576
2 ,222,983","6 30,677
2 ,184,524","5 31,966
2 ,034,992","6 00,169
1 ,958,897","-
7 19,511
1 ,832,969"
"2 ,775,926","2 ,710,502","2 ,495,023","2 ,430,700","2 ,480,454",-,"2 ,885,559","2 ,815,201","2 ,566,958","2 ,559,066","2 ,552,480"
"1 4,949,887
2 7,526,620
-","1 5,914,206
2 8,773,328
-","1 6,333,509
2 7,347,310
-","1 6,401,719
1 4,043,849
-","1 7,542,039
2 2,073,496
-","-
-
-","1 5,322,471
2 7,526,620
-","1 6,257,295
2 8,773,328
7 13,621","1 6,563,878
2 7,347,310
1 ,924,371","1 6,595,287
1 4,043,849
1 ,068,674","-
1 7,829,849
2 2,073,496
-"
"4 2,476,507","4 4,687,534","4 3,680,819","3 0,445,568","3 9,615,535",-,"4 2,849,091","4 5,744,244","4 5,835,559","3 1,707,810","3 9,903,345"
"-
2 6,306,235","2 6,394,170","2 5,848,370","2 5,379,908","-
2 2,659,099",-,"3 1,714,067","3 0,004,474","2 9,449,944","2 8,942,838","-
2 5,669,551"
"1 ,000,000","1 ,000,000","1 ,000,000","1 ,000,000","1 ,000,000",-,"1 ,000,000","1 ,000,000","1 ,000,000","1 ,000,000","1 ,000,000"
"2 5,306,235","2 5,394,170","2 4,848,370","2 4,379,908","2 1,659,099",-,"3 0,714,067","2 9,004,474","2 8,449,944","2 7,942,838","2 4,669,551"
"5 ,299,861","6 ,506,474","6 ,403,242","6 ,503,528","8 ,616,164",-,"5 ,498,955","6 ,745,249","6 ,581,519","6 ,780,221","9 ,768,333"
"3 1,606,096","3 2,900,644","3 2,251,612","3 1,883,436","3 1,275,263",-,"3 7,213,022","3 6,749,723","3 6,031,463","3 5,723,059","3 5,437,884"
"1 61,199,002
21.38%
8.00%","1 61,806,922
21.11%
8.00%","1 56,424,637
23.49%
8.00%","1 47,419,229
24.36%
8.00%","1 42,893,631
22.45%
8.00%","-
-
-","1 70,251,135
24.13%
8.00%","1 69,791,834
22.53%
8.00%","1 64,495,227
24.99%
8.00%","1 55,044,871
25.88%
8.00%","1 49,703,910
23.69%
8.00%"
13.38%,13.11%,15.49%,16.36%,14.45%,-,16.13%,14.53%,16.99%,17.88%,15.69%
"16.32%
10.50%","16.31%
10.50%","16.52%
10.50%","17.22%
10.50%","15.86%
10.50%","-
-","18.63%
10.50%","17.67%
10.50%","17.90%
10.50%","18.67%
10.50%","17.15%
10.50%"
5.82%,5.81%,6.02%,6.72%,5.36%,-,8.13%,7.17%,7.40%,8.17%,6.65%
"19.61%
14.50%","20.33%
14.50%","20.62%
14.50%","21.63%
14.50%","21.89%
14.50%","-
-","21.86%
14.50%","21.64%
14.50%","21.90%
14.50%","23.04%
14.50%","23.67%
14.50%"
5.11%,5.83%,6.12%,7.13%,7.39%,-,7.36%,7.14%,7.40%,8.54%,9.17%
"45.77%
20.00%","46.58%
20.00%","39.85%
20.00%","38.52%
20.00%","33.11%
20.00%","-
-","44.62%
20.00%","45.65%
20.00%","39.03%
20.00%","38.74%
20.00%","34.03%
20.00%"
25.77%,26.58%,19.85%,18.52%,13.11%,-,24.62%,25.65%,19.03%,18.74%,14.03%
