Our Commitment,2023
"We will steer at least 30% of
our General Services
procurement spend to
women and youth","8.9% of General Services
procurement spend to women
and youth"
"We will promote diversity,
equity and inclusion at all
levels of our operations","General Employees
Female to Male ratio 51:49"
"We will provide targeted
mentorship and skills
building for women and
youth","3,000+ Women and Youth
mentored"
