"696,4 84","435,736","299,972","363,060","382,632","656,253","511,088","511,088"
"1,119,077","736,936","488,223","654,257","911,748","1,215,248",-,"1,215,248"
"1,202,611","804,610","530,639","734,125","951,718",-,-,"951,718"
"1,247,502","904,199","549,123","787,035",-,-,-,"787,035"
"1,282,342","971,718","566,366",-,-,-,-,"566,366"
"1,292,581","980,983",-,-,-,-,-,"980,983"
"1,288,289",-,-,-,-,-,-,"1,288,289"
"1,313,880",-,-,-,-,-,-,"1,313,880"
"2,938,296","1,008,623","646,281","865,848","1,112,800","1,484,106","1,111,245","9,167,199"
"2,602,169","980,983","566,366","787,035","951,718","1,215,248","511,088","7,614,607"
"339,624","23,968","86,568","68,729","107,369","209,180","430,528","1,265,966"
"(3,497)","3,672","(6,787)","10,084","53,712","59,679","169,629","286,492"
-,-,-,-,-,-,-,"80,885"
-,-,-,-,-,-,-,"(209,382)"
-,-,-,-,-,-,-,"142,973"
-,-,-,-,-,-,-,"1,556,934"
