"Group
31st March, 2016 31st Dec, 2015 31st March, 2015
Un-audited Audited Un-audited
Shs '000 Shs '000 Shs '000","Bank
31st March, 2016 31st Dec, 2015 31st March, 2015
Un-audited Audited Un-audited
Shs '000 Shs '000 Shs '000",Column,Column
"1 3,391,635 1 4,351,893 9 ,155,452
1 ,461,626 1 ,123,359 3 ,075,239","1 2,831,033
1 ,421,705","1 3,194,946 8 ,448,258
1 ,029,881 3 ,000,691",
"1 1,930,009 1 3,228,534 6 ,080,213
3 ,732,017 2 ,776,627 2 ,874,222","1 1,409,328
3 ,451,074","1 2,165,065 5 ,447,567
2 ,388,738 2 ,648,782",
"8 ,197,992 1 0,451,907 3 ,205,991","7 ,958,254","9 ,776,327 2 ,798,785",
"8 ,197,992 1 0,451,907 3 ,205,991","7 ,958,254","9 ,776,327 2 ,798,785",
- - -,-,- -,
"5 65,118 7 52,748 1 ,810,453
1 ,669,972 1 ,303,042 1 ,098,487","5 17,483
1 ,640,222","7 13,365 1 ,783,098
1 ,273,710 1 ,084,228",
"2 ,235,090 2 ,055,790 2 ,908,940","2 ,157,705","1 ,987,075 2 ,867,326",
"1 7,429,228 1 4,087,329 1 3,910,741
2 6,127,191 2 1,346,126 4 0,387,880
1 ,591,455 8 21,955 1 ,061,590","1 7,233,223
2 6,127,191
-","1 3,819,894 1 3,622,398
2 1,346,126 4 0,221,726
- -",
"4 5,147,874 3 6,255,410 5 5,360,211","4 3,360,414","3 5,166,020 5 3,844,124",
"2 3,253,179 2 3,427,721 2 1,078,952","2 0,996,520","2 1,529,429 1 9,236,333",
"1 ,000,000 1 ,000,000 1 ,000,000","1 ,000,000 1 ,000,000",,"1 ,000,000"
"2 2,253,179 2 2,427,721 2 0,078,952","1 9,996,520","2 0,529,429 1 8,236,333",
"9 ,456,463 8 ,898,701 8 ,492,035","9 ,295,662","8 ,827,078 8 ,384,724",
"3 2,709,642 3 2,326,422 2 9,570,987","3 0,292,181","3 0,356,507 2 7,621,057",
"1 51,849,001 1 57,017,833 1 44,730,581
20.54% 20.85% 21.93%
8.00% 8.00% 8.00%","1 44,241,703
20.34%
8.00%","1 48,255,517 1 36,012,717
20.47% 21.61%
8.00% 8.00%",
12.54% 12.85% 13.93%,12.34%,12.47% 13.61%,
"15.20% 14.92% 14.56%
10.50% 10.50% 10.50%","14.56%
10.50%","14.52% 14.14%
10.50% 10.50%",
4.70% 4.42% 4.06%,4.06%,4.02% 3.64%,
"21.42% 20.59% 20.43%
14.50% 14.50% 14.50%","21.00%
14.50%","20.48% 20.31%
14.50% 14.50%",
6.92% 6.09% 5.93%,6.50%,5.98% 5.81%,
"31.56% 29.22% 29.61%
20.00% 20.00% 20.00%","31.06%
20.00%","29.80% 27.87%
20.00% 20.00%",
11.56% 9.22% 9.61%,11.06%,9.80% 7.87%,
