DIRECTOR,DESIGNATION
J P M Ndegwa,Group Chairman
D A Oyatsi,"Deputy Group Chairman, Independent"
J Gachora,"Group Managing Director, Executive Director"
A H Abdi,Independent Non-Executive Director
M M H Abdullahi *,Independent Non-Executive Director
D Abwoga,"Group Finance Director, Executive Director"
J S Armitage,Non-Executive Director
I O Awuondo *,Non-Executive Director
P R Lopokoiyit,Independent Non-Executive Director
A S M Ndegwa,Non-Executive Director
E N Ngaine,Non-Executive Director
M K R Shah *,Independent Non-Executive Director
K Thuo *,Independent Non-Executive Director
