Column,Column,5%
,,3.87%
"27,037","25,494",6.05%
,,5.59%
"49,151","46,437",5.84%
,,5.82%
"28,418","26,844",5.8%
,,(37.8%)
"15,701","6,403",>100%
,,44%
,,(52.15%)
"15,035","4,982",>100%
