Metric,FY24 Guidance,Commentary
Return on Equity,>22%,"• Create value for our shareholders and re-invest
internal capital generated to foster growth"
NPL Ratio,< 13%,"• Unlock more capital allocation to new underwritings
and enhance profitability"
Cost to Income Ratio,~45%,"• Continue to run a highly efficient business as we
onboard strategic investments and manage
inflationary pressures"
Capital Adequacy,"300Bps above
regulatory limits","• The business to remain adequately capitalised across
our core markets enabling asset growth"
Core Bank Cost of Risk,1.5% - 2.0%,"• Maintain high standards in credit onboarding and
proactive management of our loan portfolio"
