"Macro-
Economic
Factors",Base Case,Column,Column,Best Case,Column,Column,Worst Case,Column,Column
,2025,2026,"Remaining
Forecast
Period",2025,2026,"Remainin
g
Forecast
Period",2025,2026,"Remainin
g Forecast
Period"
"GDP Growth
(YoY%)",13.92%,9.52%,8.97%,14.62%,9.99%,9.41%,13.22%,9.04%,8.52%
"GDP Per Capita
(YoY%)",3.06%,3.22%,3.63%,3.21%,3.38%,3.81%,2.91%,3.06%,3.45%
"FX Rate
(YoY%)",0.16%,1.00%,4.19%,0.17%,1.05%,4.40%,0.15%,0.95%,3.98%
"Lending Rate-
Base Rate (%)",12.70%,11.98%,2.12%,12.07%,11.38%,2.02%,13.34%,12.58%,2.23%
"Household
Spending
(YoY%)",9.67%,9.84%,5.50%,10.16%,10.33%,5.78%,9.19%,9.35%,5.23%
"Foreign
Reserves
(YoY%)",35.00%,10.00%,5.98%,36.75%,10.50%,6.28%,33.25%,9.50%,5.68%
"Consumer Price
Index (YoY%)",4.30%,5.10%,11.01%,4.09%,4.85%,10.46%,4.52%,5.36%,11.56%
