Column,Column,REVENUE,% CONTRIBUTION,EFFICIENCY,RETURNS
,,TOTAL INCOME,,COST TO INCOME RATIO,RETURN ON AVERAGE EQUITY
"s
e
i",NCBAK,"53Bn
KES
▼(-1%)",83%,43.3%,▲22.0%
"r
a",,,,,
"i
d
i
s
b",NCBAU,"3Bn
KES
▲+33%",5%,56.3%,▲11.3%
"u
S",,,,,
"g
n
i
k",NCBAT,"3Bn
KES
▲+40%",5%,69.9%,▲39.0%
n,,,,,
"a
B",NCBAR,"3Bn
KES
▲+60%",4%,47.0%,▲21.1%
Non-Bank Subsidiaries,,"2Bn
KES
▲+5%",3%,47.8%,▲77.2%
Group,,"64Bn
KES
▲+5%",,45.7%,▲24.1%
