Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,FY 24 FY 25 ∆%,,,,,
Net Loans and Advances,"269,146","278,983",4%,"302,078","317,161",5%
Investments,"189,489","194,962",3%,"216,993","228,373",5%
Cash and Balances with Banks,"77,143","90,855",18%,"96,635","115,142",19%
Other Assets,"52,924","51,965",(2%),"50,237","55,371",10%
Total Assets,"588,703","616,764",5%,"665,944","716,047",8%
Customer Deposits,"449,488","467,218",4%,"502,016","531,866",6%
Borrowings,"21,729","14,915",(31%),"23,580","17,902",(24%)
Other Liabilities,"20,925","28,590",37%,"30,633","38,853",27%
Shareholders Equity,"96,560","106,042",10%,"109,715","127,426",16%
Total Liabilities & Equity,"588,703","616,764",5%,"665,944","716,047",8%
