III,OTHER DISCLOSURES,BANK,Column,Column,COMPANY,Column,Column,GROUP,Column,Column
,,"31st March,
2024
Un-audited
Shs ‘000","31st Dec,
2023
Audited
Shs ‘000","31st March,
2023
Un-audited
Shs ‘000","31st March,
2024
Un-audited
Shs ‘000","31st Dec,
2023
Audited
Shs ‘000","31st March,
2023
Un-audited
Shs ‘000","31st March,
2024
Un-audited
Shs ‘000","31st Dec
2023
Audited
Shs ‘000",", 31st March,
2023
Un-audited
Shs ‘000"
,,,"40,462,270 36,102,498
8,696,675 7,797,428",,,"- -
- -",,,,
,,"36,543,860",,,-,,,"40,171,644",,
,,"9,476,336",,,-,,,"9,819,140",,
,,"27,067,524","31,765,595 28,305,070
13,015,658 12,470,488",,-,"- -
- -",,"30,352,504",,
,,"10,852,128",,,-,,,"12,576,486",,
,,"16,215,396","18,749,937 15,834,582",,-,- -,,"17,776,018",,
,,"16,215,396","18,749,937 15,834,582",,-,- -,,"17,776,018",,
,,-,- -,,-,- -,,-,,
,,,"27,359,737 21,490,950
6,708,789 5,387,286",,,"- -
- -",,,,
,,"23,891,939",,,-,,,"24,479,723",,
,,"6,774,284",,,-,,,"7,298,441",,
,,"30,666,223","34,068,527 26,878,236",,-,- -,,"31,778,164",,
,,,"60,133,300 44,891,121
5,464,955 22,492,455
- -",,,"- -
- -
- -",,,,
,,"53,739,230",,,-,,,"61,637,025",,
,,"9,852,947",,,-,,,"9,852,947",,
,,-,,,-,,,"2,085,562",,
,,"63,592,177","65,598,255 67,383,576",,-,- -,,"73,575,534",,
,,,"82,120,807 74,052,458
1,000,000 1,000,000",,,"- -
- -",,,,
,,"83,392,159",,,-,,,"94,756,405",,
,,"1,000,000",,,-,,,"1,000,000",,
,,"82,392,159","81,120,807 73,052,458",,-,- -,,"93,756,405",,
,,-,- -,,-,- -,,"271,390",,
,,"83,392,159","82,120,807 74,052,458",,-,- -,,"95,027,795",,
,,"465,087,108","468,837,218
424,508,500
15.96% 16.54%
8.00% 8.00%",,,"- -
- -",,"512,396,066",,
,,16.68%,,,-,,,17.06%,,
,,8.00%,,,-,,,8.00%,,
,,8.68%,7.96% 8.54%,,-,- -,,9.06%,,
,,17.93%,"17.52% 17.44%
10.50% 10.50%",,-,"- -
- -",,18.49%,,
,,10.50%,,,-,,,10.50%,,
,,7.43%,7.02% 6.94%,,-,- -,,7.99%,,
,,17.93%,"17.52% 17.44%
14.50% 14.50%",,-,"- -
- -",,18.55%,,
,,14.50%,,,-,,,14.50%,,
,,3.43%,3.02% 2.94%,,-,- -,,4.05%,,
,,-,"- 16.54%
- 17.44%
- 17.44%",,-,"- -
- -
- -",,-,,
,,-,,,-,,,-,,
,,-,,,-,,,-,,
,,,"52.30% 54.81%
20.00% 20.00%",,,"- -
- -",,,,
,,54.60%,,,-,,,51.60%,,
,,20.00%,,,-,,,20.00%,,
,,34.60%,32.30% 34.81%,,-,- -,,31.60%,,
