"Category of
asset/liability","Valuation
technique",Significant unobservable inputs,Sensitivity
"Property and
Equipment –
building","Discounted
Cash Flow
Method –
Principal
Method","Discount rate applied in the valuation of
investment properties is determined based on
the market-derived All Risks Yield (ARY) and
an estimated sustainable rental growth rate. The
ARY is obtained from an analysis of historical
transactions of commercial properties within
the Nairobi market, reflecting prevailing
market conditions and risk perceptions. The
sustainable rental growth rate represents the
long-term expected annual increase in rental
income, considering market trends, inflation,
and economic fundamentals.","A slight increase in the
capitalisation rate used would
result in a significant decrease
in fair value, and vice versa."
Loan notes,"Quoted prices
and/or suitable
proxies","Quoted prices and/or suitable proxies which are
subjected to different sensitivity assessments","Changes in assumptions about
these factors could affect the
reported fair value of loan
notes. As at 31 December
2025, the fair value of the loan
notes would have been
estimated at KES Nil on
higher / lower if the
determined share price was
assumed to be 25% higher
/lower (2024 – KES 109
million)."
"Derivative
assets",Option pricing,Mark to Market,"A slight increase in the input
used would result in a
significant change in fair
value."
Other assets,"Observable
price changes",Observable price changes,"A slight increase in the input
used would result in a
significant change in fair
value."
"Fixed rate
Treasury bills
FVOCI","Market
comparables","Face value/nominal value
Unamortized discount/premium
Mark to Market","A slight increase in the input
used would result in a
significant change in fair
value."
"Fixed rate
treasury bonds
– FVOCI","Market
comparables","Fair value/nominal value
Unamortized discount/premium
Mark to Market","A slight increase in the input
used would result in a
significant change in fair
value."
