No.,Name,Number of Shares,%
,Andrew S. M. Ndegwa,"77,621,471",4.71
,James P. M. Ndegwa,"76,580,454",4.65
,Desterio A. Oyatsi,"21,700,000",1.32
,John Gachora,"2,364,255",0.14
,John S. Armitage,"1,746,370",0.11
,Esther N. Ngaine,"648,980",0.04
,David Abwoga,"9,108",0.001
