Column,2016,2015
Note,Shs’000,Shs’000
17,"1,139,400","2,822,997"
18,"399,772","848,819"
19,"9,632,068","6,675,640"
20,"96,050","2,308,344"
31,"(2,775,926)","(9,064,552)"
,"8,541,503","3,591,248"
