Column,Name,Number of Shares,%
1.,Andrew S. M. Ndegwa,"70,909,968",4.30
2.,James P. M. Ndegwa,"67,615,945",4.10
3.,Desterio A. Oyatsi,"10,628,375",0.65
4.,John S. Armitage,"8,731,852",0.53
5.,Mukesh K. R. Shah,"676,090",0.041
6.,Isaac O. Awuondo,"413,766",0.025
7.,John Gachora,"381,755",0.023
8.,Esther N. Ngaine,"353,980",0.021
9.,David Abwoga,"9,108",0.0006
