Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,1H23 1H22 ∆%,,,,,
Interest Income,"27,015","22,345",21%,"30,346","24,931",22%
Interest Expenses,"-11,956","-9,207",30%,"-13,135","-10,131",30%
Net Interest Income,"15,059","13,139",15%,"17,211","14,800",16%
FX Income,"3,956","4,982",(21%),"4,313","5,286",(18%)
Other Non- Interest Income,"6,991","7,189",(3%),"9,500","8,897",7%
Non – Funded Income,"10,946","12,171",(10%),"13,813","14,182",(3%)
Operating Income,"26,005","25,310",3%,"31,023","28,982",7%
Operating Expenses,"-11,281","-9,078",24%,"-14,272","-11,521",24%
Operating Profit,"14,724","16,232",(9%),"16,751","17,461",(4%)
Impairments,"-4,119","-4,611",11%,"-4,392","-5,556",21%
Profit Before Tax And Exceptional Items,"10,605","11,621",(9%),"12,359","11,905",4%
Exceptional item,-,-531.1,100%,-,-724.6,100%
Profit after Exceptional items,"10,605","11,090",(4%),"12,359","11,180",11%
