Our Commitment,2023
"We will mobilize & steer KES 30
billion of Green & Sustainable
Financing to accelerate the
transition.","KES 2 billion EV Fund
KES 500 million Solar financing
KES 30 billion Sustainable
financing"
"We will invest in deploying EV
charging stations across the
region.","4 Charging Stations installed. 3
in Nairobi and 1 in Kigali)"
"We will develop a “Change the
Story” knowledge platform to
inspire and capacitize the
public towards change.",Ongoing for Launch in 2024
