Column,Column,Column,"4,332,080"
,,,"32,511,082"
,,,"798,255"
,,,"9,916,824"
"26,062,413","31,281,018","42,619,119","47,558,241"
"21,978,078
278,195
769,898","24,805,595
650,100
1,087,590","35,238,381
663,275
1,151,713",
,,,"39,514,275"
,,,"465,202"
,,,"786,510"
"23,026,171","26,543,285","37,053,369","40,765,987"
"3,036,242","4,737,733","5,565,750",
,,,"6,792,254"
"26,062,413","31,281,018","42,619,119",
,,,"47,558,241"
"2,365,847
911,250","2,799,924
1,159,829","3,747,301
1,732,079",
,,,"4,425,440"
,,,"2,011,376"
"1,454,597
515,441","1,640,095
736,294","2,015,222
1,149,231","2,414,064"
,,,"1,427,014"
"1,970,038","2,376,389","3,164,453",
,,,"3,841,078"
"1,159,607
133,389","1,226,415
100,067","1,485,728
194,551",
,,,"1,850,801"
,,,"463,484"
"1,292,996","1,326,482","1,680,279","2,314,285"
"677,042","1,049,907","1,484,174",
,,,"1,526,793"
"219,068","304,220","446,493",
,,,"441,075"
"457,974","745,687","1,037,681",
,,,"1,085,718"
"1.58
2.70
1,270,942
646,706","2.57
0.80
967,724
479,884","3.18
0.50
1,031,988
621,360",
,,,3.31
,,,0.50
,,,"1,411,457"
,,,"1,025,951"
"624,236","487,840","410,628","385,506"
,,,484
,,,13
,,,22.48%
,,,37.15%
,,,1.19%
,,,3.21%
