III,OTHER DISCLOSURES,BANK,Column,Column,COMPANY,Column,Column,GROUP,Column,Column
,,"31st March,
2020
Un-audited
Shs ‘000","31st Dec,
2019
Audited
Shs ‘000","31st March,
2019
Un-audited
Shs ‘000","31st March,
2020
Un-audited
Shs ‘000","31st De
201
Audite
Shs ‘00","c, 31st March,
9 2019
d Un-audited
0 Shs ‘000","31st March,
2020
Un-audited
Shs ‘000","31st Dec
2019
Audited
Shs ‘000",", 31st March,
2019
Un-audited
Shs ‘000"
,,,"30,515,948 9,714,144
6,207,777 2,324,678",,,"- -
- -",,,,
,,"34,747,568",,,-,,,"38,849,070",,
,,"6,906,205",,,-,,,"7,428,215",,
,,"27,841,363","24,308,171 7,389,466
10,318,641 5,739,834",,-,"- -
- -",,"31,420,855",,
,,"116,06,693",,,-,,,"13,750,594",,
,,"16,234,670","13,989,530 1,649,632",,-,- -,,"17,670,261",,
,,"16,234,670","13,989,530 1,649,632",,-,- -,,"17,670,261",,
,,-,- -,,-,- -,,-,,
,,,"14,211,932 5,886,727
5,150,274 2,733,837",,,"- -
- -",,,,
,,"13,428,178",,,-,,,"13,596,168",,
,,"5,105,152",,,-,,,"5,453,673",,
,,"18,533,330","19,362,206 8,620,564",,-,- -,,"19,049,841",,
,,,"49,607,900 23,484,226
5,003,287 9,434,749
- -",,,"- -
- -
- -",,,,
,,"53,500,052",,,-,,,"58,496,837",,
,,"6,813,414",,,-,,,"6,813,414",,
,,-,,,-,,,-,,
,,"60,313,466","54,6111,87 32,918,975",,-,- -,,"65,310,251",,
,,,"62,561,322 25,904,183
1,000,000 1,000,000",,,"- -
- -",,,,
,,"65,572,930",,,-,,,"67,925,322",,
,,"1,000,000",,,-,,,"1,000,000",,
,,"64,572,930","61,561,322 24,904,183",,-,- -,,"66,925,322",,
,,"2,068,966","2,620,795 2,056,295",,-,- -,,"2,295,065",,
,,"67,641,896","65,182,117 27,960,478",,-,- -,,"70,220,387",,
,,"347,237,647","350,879,900 164,056,295
17.69% 13.55%
8.00% 8.00%",,,"- -
- -",,"379,147,134",,
,,18.04%,,,-,,,17.39%,,
,,8.00%,,,-,,,8.00%,,
,,10.04%,9.69% 5.55%,,-,- -,,9.39%,,
,,18.88%,"17.83% 15.79%
10.50% 10.50%",,-,"- -
- -",,17.92%,,
,,10.50%,,,-,,,10.50%,,
,,8.38%,7.33% 5.29%,,-,- -,,7.42%,,
,,19.48%,"18.58% 17.04%
14.50% 14.50%",,-,"- -
- -",,18.52%,,
,,14.50%,,,-,,,14.50%,,
,,4.98%,4.08% 2.54%,,-,- -,,4.02%,,
,,18.33%,"18.55% 13.55%
18.69% 15.79%
19.44% 17.44%",,-,"- -
- -
- -",,17.69%,,
,,19.18%,,,-,,,18.22%,,
,,19.78%,,,-,,,18.82%,,
,,,"50.95% 50.49%
20.00% 20.00%",,,"- -
- -",,,,
,,54.55%,,,-,,,55.54%,,
,,20.00%,,,-,,,20.00%,,
,,34.55%,30.95% 30.49%,,-,- -,,35.54%,,
