"Income Statement
Highlights
(Amounts in KES B)",Column,Column,Column
,"Operating
Profit","17.5 27
Yo","%
Y"
,"Net Interest
Income","14.9 11
Yo","%
Y"
,"Non Funded
Income","14.2
33
Yo","%
Y"
,"Operating
Expenses","11.6
11
Yo","%
Y"
,Impairments,"5.6
6%
Yo",Y
