Our Commitment,2023,2024
"We will complete a group-wide
carbon audit in 2023 & set a >50%
reduction target in direct emissions
(Scope I & II) by 2030","Scope I
7765.53 (tCO2e)
Scope II
2324 (tCO2e)
Total Scope I and II (tCO2e): 10089.53","Scope I
6,262.45 (tCO2e)
Scope II
2,884.18 (tCO2e)
Total Scope I and II (tCO2e): 9,146.62"
"We will align with the 2015 Paris
Agreement and reduce our financed
emissions by 2030",Ongoing audit,"Baseline audit undergoing data
validation and verification"
"We will embed thorough assessments
of climate-related risks in our lending,
investment, and financing activities","Capacity Building & Training
Scenario Modelling","Updated tools to integrate client level
climate risk due diligence
Conducted client visits in Kenya,
Uganda, Tanzania and Rwanda to
discuss climate related risks and
opportunities.
Conduct E&S and Climate Risk
Assessments Mapping for our loan
book."
