INPUT OUTPUT,Column,Column,Column
"2,125
KENYA EMPLOYEES
HUMAN CAPITAL
• Rewards and Recognition program aligned to performance
• Experienced Executive Management Team and Board
• Focused employee development strategy","• Employee Retention 90%
• 219 Employees promoted
• 1,418 Employees recognized
through our Rewards and
Recognition program (won
Go STAR awards)",,
"FINANCIAL CAPITAL
• Shareholders’ Equity: KES 78.0B
• Deposits: KES 469.9 Bn
• Net Loan Book: KES 241.5 Bn","• Share price - KES 25.20
• Balance Sheet Growth – 12%
• ROE - 13%
• Dividend declared
– KES 4,943M",,
"BRANCHES ATMs CDM
104 93 34
MANUFACTURED CAPITAL
• NCBA Bank Kenya T24 Consolidation
• Consolidation of our core banking, workflows and processes
across the subsidiaries","99%
Uptime of application
systems",,
"INTELLECTUAL CAPITAL
• Leadership in Corporate Banking
• Leadership in Asset Finance
• Leadership in Digital Business","• Digital customer numbers
were at 65,000,000 at the
close of the year","• In 2021, Asset finance disbursements
increased by 21% to KES 19.7Bn
maintaining its market leadership
position among the top 7 Asset Finance
Banks which translated to a market share
of 33%.","Enhanced visibility across the region under a strong
brand name"
"65,270,000
CUSTOMERS
SOCIAL CAPITAL & RELATIONSHIP CAPITAL
• Strategic Partnerships
• Mentorship and Job Shadow","• NCBA was ranked 3rd
amongst tier 1 Banks in
Customer responsiveness
and satisfactory digital
experience.
• NPS 32% being 80% of the
target of 40%",,
