Director,Classification,Designation,Column,Board,Audit,Credit Risk,Human,Executive,Strategy,Risk
J P M Ndegwa,Non-executive,"Chairman
Board",Membership,√,,,,,√,
,,,Attendance,5/5,,,,1/4,1/1,
F M Mbiru,Non-executive,"Chairman
Credit Risk Committee",Membership,√,√,√,√,,√,√
,,,Attendance,5/5,4/4,10/10,2/2,,1/1,3/3
J W Macharia,Executive,Group Managing Director,Membership,√,,√,√,√,√,√
,,,Attendance,5/5,4/4,10/10,2/2,4/4,1/1,3/3
G A Maina,Non-executive,"Chairman
Risk Management
Commmitee",Membership,√,,,,√,√,√
,,,Attendance,5/5,,,,4/4,1/1,3/3
F N Mwanzia,Non-executive,"Chairman
Audit Committee",Membership,√,√,√,,,√,
,,,Attendance,5/5,4/4,8/10,,,1/1,
A S M Ndegwa,Non-executive,"Chairman
Evecutive Committee",Membership,√,√,√,√,√,√,
,,,Attendance,5/5,1/4,9/10,2/2,4/4,1/1,
I Ochola-Wilson,Non-executive,"Chairman
Human Resources
and Compensation
Committee",Membership,√,√,,√,,√,√
,,,Attendance,5/5,3/4,,2/2,,1/1,2/3
M L Somen,Non-executive,,Membership,√,,√,,√,√,
,,,Attendance,5/5,,9/10,,4/4,1/1,
P V Shah,Non-executive,,Membership,√,,√,,,√,
,,,Attendance,5/5,,9/10,,,1/1,
A Dodd,Executive,,Membership,√,,√,√,√,√,√
,,,Attendance,5/5,4/4,10/10,2/2,4/4,1/1,3/3
