Our Commitment,2023
"We will train & ignite our
3000+ staff to make a
difference through the “I
Change the Story” programme",10 courses on NCBA Academy
"We will deploy KES 100 million
annually to support the
communities in which we
operate",100+ Scholarships offered
"We will champion inclusive
communities through regional
sport development","7,000+ players from NCBA
Gold Series and Golf
Activation Golfers"
