Amounts in KES Millions,NCBA Bank Kenya,Column,Column,Column,Column,Column
Assets,,,,,,
Net Loans and Advances,"224,828","215,519",4%,"250,499","239,601",5%
Investments,"215,880","183,287",18%,"236,901","195,421",21%
Cash and Balances with Banks,"61,761","66,402",(7%),"77,971","76,502",2%
Other Assets,"42,621","34,959",22%,"38,925","31,071",25%
Total Assets,"545,090","500,167",9%,"604,296","542,595",11%
Liabilities & Equity,,,,,,
Customer Deposits,"420,636","403,212",4%,"468,489","437,340",7%
Borrowings,"26,136","11,134",135%,"30,024","14,439",108%
Other Liabilities,"19,929","11,520",73%,"25,532","16,380",56%
Shareholders Equity,"78,389","74,301",6%,"80,251","74,436",8%
Total Liabilities and Equity,"545,090","500,167",9%,"604,296","542,594",11%
