III,OTHER DISCLOSURES,BANK,COMPANY,Column,GROUP,Column
,,"31st Dec,
2023
Audited
Shs ‘000","31st Dec, 31st Dec,
2022 2023
Audited Audited
Shs ‘000 Shs ‘000","31st Dec,
2022
Audited
Shs ‘000","31st Dec,
2023
Audited
Shs ‘000","31st Dec,
2022
Audited
Shs ‘000"
,,"40,462,270 35
8,696,675 6",",299,943 -
,970,900 -","-
-",,
,,,,,"44,554,298",
,,,,,"9,076,681",
,,"31,765,595 28
13,015,658 1",",329,043 -
3,230,614 -","-
-","35,477,617",
,,,,,"15,526,274",
,,"18,749,937 15",",098,429 -",-,"19,951,343",
,,"18,749,937 15",",098,429 -",-,"19,951,343",
,,-,- -,-,-,
,,"27,359,737 1
6,708,789 5","8,013,553 -
,083,949 -","-
-",,
,,,,,"27,559,490",
,,,,,"7,453,403",
,,"34,068,527 23",",097,502 -",-,"35,012,893",
,,"60,133,300 5
5,464,955 2
-","3,501,383 -
4,898,291 -
- -","-
-
-",,
,,,,,"69,234,601",
,,,,,"5,464,955",
,,,,,"2,178,265",
,,"65,598,255 78",",399,674 -",-,"76,877,821",
,,"82,120,807 7
1,000,000 1,","2,475,434 -
000,000 -","-
-",,
,,,,,"94,204,351",
,,,,,"1,000,000",
,,"81,120,807 71",",475,434 -",-,"93,204,351",
,,-,- -,-,"315,163",
,,"82,120,807 72",",475,434 -",-,"94,519,514",
,,"468,837,218 404,
15.96%
8.00%","040,200
15.80% -
8.00% -","-
-","524,611,420",
,,,,,16.26%,
,,,,,8.00%,
,,7.96%,7.80% -,-,8.26%,
,,"17.52%
10.50%","17.94% -
10.50% -","-
-",17.96%,
,,,,,10.50%,
,,7.02%,7.44% -,-,7.46%,
,,"17.52%
14.50%","17.94% -
14.50% -","-
-",18.02%,
,,,,,14.50%,
,,3.02%,3.44% -,-,3.52%,
,,"-
-
-","16.22% -
18.41% -
18.41% -","-
-
-",-,
,,,,,-,
,,,,,-,
,,"52.30%
20.00%","55.61% -
20.00% -","-
-",,
,,,,,52.90%,
,,,,,20.00%,
,,32.30%,35.61% -,-,32.90%,
