"1,591,000","(799,347)"
"-
-
(102,043)
(45,876)
(55,481)
2,402","(14,949)
1,092,192
(220,564)
-
(37,225)
2,676"
"(200,998)","822,130"
"(164,983)
(571)","(148,490)
-"
"(165,554)","(148,490)"
"1,224,448
7,087,017
(56,881)","(125,707)
7,259,286
(46,562)"
"8,254,584","7,087,017"
