"43,679,381",Column,-
"553,733",,-
"52,956,080",,-
"18,089",,-
"207,516,292",,-
"15,226,830",,-
"293,932,350",,-
"1,880,967",,-
"1,720,552",,-
"19,268,491",,"674,533"
-,,"1,371,864"
"3,366,767",,-
-,,"75,488,682"
"7,455,118",,-
"4,333,185",,-
"10,014,063",,"88,406"
"521,875",,-
"3,465,991",,-
"34,000",,-
"665,943,764","734,621,408","77,623,485"
,"579,401,918
26,680,557
-
-
-
21,470,755
6,411,971
207,735
3,785,294",
"502,016,493",,-
"13,407,659",,-
-,,"7,892,756"
"2,151,016",,-
"62,469",,-
"24,240,852",,"974,613"
"10,172,225",,-
"7,697",,"1,372"
"4,170,604",,-
"556,229,015","637,958,230","8,868,741"
,"8,237,598
21,424,322
(4,781,589)
-
64,900,509
1,939,781
4,942,557",
"8,237,598",,"8,237,598"
"21,424,322",,"21,424,322"
"(2,454,519)",,-
"106,020",,-
"77,720,291",,"33,738,386"
"(658,029)",,-
"5,354,438",,"5,354,438"
"109,730,121","96,663,178
-","68,754,744"
"(15,372)",,-
"109,714,749","96,663,178","68,754,744"
"665,943,764","734,621,408","77,623,485"
