"Total NFI/Total
Income Income",Column,Column,Column,"PBT ROAE
CAGR+3.4%",Column,Column,Column,Column
"CAGR+5.6%
17
16 16",,,,,,,,
,,,,"7
6 6",,,,
,,,,,21.4%,21.9%,19.4,%
,46%,48%,42%,,,,,
Q1 23 Q1 24 Q1 25,,,,,,,,
