Amounts in KES Millions,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,H1 2022 H1 2021 ∆%,,,,,
Interest Income,"22,345","20,454",9%,"24,931","22,475",11%
Interest Expenses,"(9,206)","(8,197)",12%,"(10,131)","(9,048)",12%
Net Interest Income,"13,139","12,257",7%,"14,800","13,427",10%
FX Income,"4,982","2,167",>100%,"5,286","2,382",>100%
Other Non- Interest Income,"2,594","2,517",3%,"3,555","3,272",9%
Digital Lending Income,"4,595","4,442",3%,"5,342","5,051",6%
Operating Income,"25,310","21,383",18%,"28,982","24,132",20%
Operating Expenses,"(9,078)","(8,256)",(10%),"(11,521)","(10,408)",(11%)
Operating Profit,"16,232","13,127",24%,"17,461","13,724",27%
Provisions,"(4,611)","(5,138)",(10%),"(5,556)","(5,919)",(6%)
Profit Before Tax And Exceptional Items,"11,621","7,989",45%,"11,905","7,805",53%
Exceptional item,(531),(391),36%,(725),(391),85%
Profit after Exceptional items,"11,090","7,598",46%,"11,180","7,414",51%
