-,-,-,-,-
"(23,499)",-,"284,273","26,002","286,776"
"(23,499)",-,"284,273","26,002","286,776"
"(439,832)",-,-,-,"(439,832)"
-,-,"(69,049)","(20,109)","(89,158)"
"65,119",-,-,-,"65,119"
-,-,"81,477",433,"81,910"
-,"(10,781)",-,-,"(10,781)"
-,-,-,-,-
"65,119","(10,781)","12,428","(19,676)","47,090"
"(374,713)","(10,781)","12,428","(19,676)","(392,742)"
-,"10,781","37,936","1,715","50,432"
"(374,711)",-,"50,364","(17,961)","(342,310)"
"573,716",-,-,-,"573,716"
-,-,"(191,563)",-,"(191,563)"
"(29,245)",-,-,-,"(29,245)"
"544,471",-,"(191,563)",-,"352,908"
-,-,-,-,-
"146,259",-,"143,074","8,041","297,374"
"146,259",-,"143,074","8,041","297,374"
