NCBA GROUP PLC – MEETING ATTENDANCE,Column,Column,Column,Column,Column,Column,Column,Column,Column
Director,Designation,,Board*,BESC,BARC,BGNC,BICTC,BHRC**,TSC
J. P. M. Ndegwa,"Chairman, Board",Membership,√,,,,,,
,,Attendance,6/6,2/2,,1/1,,,
D. A. Oyatsi,"Deputy Chairman,
Chair BESC/BGNC",Membership,√,√,,√,,√,
,,Attendance,6/6,4/4,,4/4,,1/1,
J. Gachora,"Group Managing
Director",Membership,√,√,,,√,,
,,Attendance,6/6,7/7,,,4/5,,
J. S. Armitage,NED,Membership,√,√,,,,,
,,Attendance,4/6,6/7,,,,,
A. S. M. Ndegwa,NED,Membership,√,√,,,,,
,,Attendance,6/6,7/7,,,,,
I. O. Awuondo1,"NED & Chair
BESC/BICTC",Membership,√,√,,,√,,
,,Attendance,5/5,7/7,1/1,,5/5,,
P. R. Lopokoiyit,"INED & Chair
BHRC",Membership,√,,√,√,,√,
,,Attendance,6/6,,6/6,4/4,,1/1,
E. N. Ngaine,INED,Membership,√,,,√,,,
,,Attendance,6/6,,,4/4,,,
M. K. R. Shah2,"INED & Chair
BARC/TSC",Membership,√,,√,,,,√
,,Attendance,5/5,,6/6,,,,5/5
Hon. A. H. H. Abdi,"INED & Chair
BARC",Membership,√,,√,,,,
,,Attendance,6/6,,6/6,,,,
M. M. H. Abdullahi3,"INED & Chair
BICTC",Membership,√,,,√,√,,
,,Attendance,2/2,,,1/1,2/2,,
K. Thuo4,NED,Membership,√,,√,,,,√
,,Attendance,1/1,,1/1,,,,5/5
A. N. Njoroge5,NED,Membership,,,,,,√,
,,Attendance,,,,,,1/1,
J. Somen6,"INED & Chair
BICTC",Membership,,,,,√,,
,,Attendance,,,,,4/4,,
D. Abwoga,ED,Membership,√,,,,,,
,,Attendance,6/6,,,,,,
KEY,,,,,,,,,
"BESC = Board Executive and Strategy
Committee",,"BARC = Board Audit and Risk
Committee",,,"BICTC = Board Information and
Communications Technology
Committee",,,,
"BGNC = Board Governance and
Nominations Committee",,"BHRC = Board Human
Resources Committee",,,"INED = Independent Non-Executive
Director",,,,
NED = Non-Executive Director,,ED = Executive Director,,,,,,,
