Column,2018,2017
,Sh’000’,Sh’000’
Employee taxes,"743,750","678,360"
Corporate Taxes,"2,308,560","2,354,630"
Valued Added Tax,"565,642","349,569"
Custom Duty,"291,410","197,628"
"Tax Collected on Behalf of
Government","981,759","835,266"
Total,"4,891,121","4,415,453"
