Policy,Key Provisions
ICT Policies,"The Policies on ICT as established by the Board set the framework for:
• Prudent procurement practices in relation to ICT systems;
• The creation of an enabling environment for relevant infrastructure implementation and
future development needs;
• Data Protection, risk management and control and ICT Security and Cyber Security
Monitoring;
• Disaster recovery and Business Continuity;
• ICT governance, compliance and monitoring, and continuous improvement supportive
of strategy;
• ICT literacy and professional skills development for all staff; and
• Development of fit for purpose ICT systems and applications in support of the innovation
and digital approach for the Group."
"Directors’ External
Activities and Related
Party Transactions Policy","Directors have a statutory duty to avoid situations in which they have or may have interests
that conflict with those of the Group and its subsidiaries. Directors submit declarations of
interests which include an acknowledgement:
• Of their obligation to declare any matter concerning the Group that may result in a
conflict of interest and exclude themselves from any discussion or decision over the
matter in question;
• That should they be appointed to the Board or acquire a significant interest in a business
competing with the Group, or be appointed to the Board of an entity (including a
Government entity) that may expose them to potential or actual conflict of interest,
that they would be obliged to declare such appointment, undergo an assessment to
determine the extent of such conflict and, where applicable, or offer their resignation as
a Director where the conflict cannot be mitigated by the existing Board policies for the
management of conflicts of interest; and
• That the foregoing also applies to interests of their immediate family members.
The Group’s Related Party (RP) Transactions Policy further outlines:
• Identification of related parties;
• Classification of RP transactions;
• Rules and procedures relating to handling of RP transactions;
• Review and approval of RP transactions; and
• Board and management responsibilities in relation to RP transactions.
In 2024, business transactions with all parties, including the Directors or their related parties
were carried out at arm’s length. Business transactions with the Directors or their related
parties are disclosed on page 315 to 317 note 48 of this report."
"Group Stakeholder
Relations Policy","The NCBA Group Stakeholder Relations Policy incorporates the Group’s policy provisions
on: Effective Communication with Stakeholders, Dispute Resolution for Internal and External
Disputes, and Corporate Disclosures. The Policy, which was approved by Shareholders
during the AGM held on 29th May 2024, and accessible through the Group website (https://
ncbagroup.com/wp-content/uploads/2024/05/NCBA-Group-Stakeholder-Relations-Policy.
pdf) , outlines the Group’s commitment to effectiveness in engagement with stakeholders,
timely and transparent disclosures, and structured mechanisms for resolving disputes.
Engagement is guided by clear governance frameworks that promote inclusivity, protect
stakeholder rights, and support sustainable development through impactful corporate
citizenship initiatives. The Group’s Corporate Citizenship Policy Framework, which outlines
the Group’s approach to operating responsibly and ethically, impacting various aspects of
society and the environment, has been published on the Group website (https://ncbagroup.
com/?_gl=1%2A13ngyk8%2A_gcl_au%2ANzEzMTU3MDE0LjE3Mzk1NzUzNzE.)"
