"51,881,126","2,093,946","2,208,287","1,119,166","57,302,525"
"(17,571,418)","(909,764)","(626,860)","(369,413)","(19,477,455)"
"34,309,708","1,184,182","1,581,427","749,753","37,825,070"
"8,921,392","385,155","346,650","167,181","9,820,378"
"43,231,100","1,569,337","1,928,077","916,934","47,645,448"
"(8,836,499)","(680,224)","(1,428,781)","(265,210)","(11,210,714)"
"(17,798,256)","(1,828,732)","(1,264,462)","(597,780)","(21,489,230)"
"16,596,345","(939,619)","(765,166)","53,944","14,945,504"
"89,485",-,-,-,"89,485"
"16,685,830","(939,619)","(765,166)","53,944","15,034,989"
"(4,906,167)","(216,550)","281,920","29,451","(4,811,346)"
"11,779,663","(1,156,169)","(483,246)","83,395","10,223,643"
