I,STATEMENT OF FINANCIAL POSITION,BANK,Column,COMPANY,Column,GROUP,Column,III,OTHER DISCLOSURES,BANK,Column,COMPANY,GROUP,Column
,,"31st Dec,
2022
Audited
Shs ‘000","31st Dec,
2021
Audited
Shs ‘000","31st Dec,
2022
Audited
Shs ‘000","31st Dec,
2021
Audited
Shs ‘000","31st Dec,
2022
Audited
Shs ‘000","31st Dec,
2021
Audited
Shs ‘000",,,"31st Dec,
2022
Audited
Shs ‘000","31st Dec,
2021
Audited
Shs ‘000","31st Dec, 31st
2022 2
Audited Aud
Shs ‘000 Shs ‘","Dec, 31st Dec,
021 2022
ited Audited
000 Shs ‘000","31st Dec,
2021
Audited
Shs ‘000"
,,,"8,926,168
28,387,550
-
911,863
123,164,457
8,783,076
72,887,496
49,526
1,199,972
38,353,641
-
220,019,614
2,145,868
2,432,436
23,002
-
-
1,853,985
6,250
5,763,723
10,859,474
-
20,965,449",,"-
-
-
-
-
-
-
-
-
-
36,212
-
9,650
332,593
70,608,568
-
-
-
-
-
24,491
-
50,405",,"10,643,165
32,511,158
-
911,863
123,164,457
18,338,899
72,887,496
4,418,432
834,123
44,285,263
390,080
244,037,961
-
3,956,460
-
-
-
2,482,004
522,250
6,082,639
11,832,708
-
13,789,079",,,,"40,908,824
7,946,907","-
-","- 39,130,983
- 7,276,183",
,,"11,601,111",,-,,"14,595,005",,,,"35,299,943",,,,
,,"19,269,770",,-,,"24,031,104",,,,"6,970,900",,,,
,,-,,-,,-,,,,"28,329,043","32,961,917
22,504,842","-
-","- 31,854,800
- 15,603,793",
,,"953,929",,-,,"953,929",,,,,,,,
,,,,,,,,,,"13,230,614",,,,
,,,,,,,,,,"15,098,429","10,457,075",-,"- 16,251,007",
,,"123,454,078",,-,,"123,454,078",,,,,,,,
,,"5,803,816",,-,,"18,367,609",,,,"15,098,429","10,457,075",-,"- 16,251,007",
,,,,,,,,,,-,-,-,- -,
,,"81,918,941",,-,,"81,918,941",,,,,,,,
,,,,,,,,,,,"15,504,466
4,735,411","-
-","- 18,095,641
- 5,797,856",
,,"50,769",,-,,"5,036,976",,,,,,,,
,,"4,659,010",,-,,"4,659,010",,,,"18,013,553",,,,
,,"14,223,438",,-,,"21,033,832",,,,"5,083,949",,,,
,,,,,,,,,,"23,097,502","20,239,877",-,"- 23,893,497",
,,"2,068,011",,"11,093",,"2,231,441",,,,,,,,
,,"249,898,626",,-,,"278,920,795",,,,,"50,984,049
5,951,107
-","-
-
-","- 58,585,015
- 24,898,291
- 2,074,597",
,,"6,268,918",,"84,875",,-,,,,,,,,
,,,,,,,,,,"53,501,383",,,,
,,"2,432,436",,"332,593",,"4,069,660",,,,,,,,
,,"23,002",,"74,081,089",,-,,,,"24,898,291",,,,
,,-,,-,,-,,,,-,,,,
,,-,,-,,-,,,,"78,399,674","56,935,156",-,"- 85,557,903",
,,"1,822,073",,-,,"2,357,377",,,,,"64,567,328
1,000,000","-
-","- 81,667,879
- 1,000,000",
,,"6,125",,-,,"522,125",,,,,,,,
,,"5,397,874",,-,,"5,810,137",,,,"72,475,434",,,,
,,"9,019,522",,"59,219",,"10,300,722",,,,"1,000,000",,,,
,,-,,-,,-,,,,"71,475,434","63,567,328",-,"- 80,667,879",
,,"28,406,657",,"9,831",,"21,398,903",,,,-,"90,776",-,"- 265,766",
,,"567,278,106","546,733,550","74,578,700","71,061,919","619,661,644","591,088,037",,,"72,475,434","64,658,104",-,"- 81,933,645",
,,,"-
431,214,219
10,623,516
1,982,214
-
6,096,755
1,073,183
2,437,351
-
-
-
14,663,533",,"-
-
-
-
-
-
10,297,692
-
19,639
-
-",,"-
469,890,083
14,095,935
679,347
-
6,096,755
-
2,761,211
19,639
-
-
19,558,038",,,,,,,
,,-,,-,,-,,,,"404,040,200","351,786,715
14.97%
8.00%","-
-","444,759,800
- 16.25%
- 8.00%",
,,"458,619,230",,-,,"502,675,954",,,,15.80%,,,,
,,"961,345",,-,,"2,540,687",,,,8.00%,,,,
,,"5,431,767",,-,,"3,373,440",,,,7.80%,6.97%,-,- 8.25%,
,,-,,-,,-,,,,17.94%,"18.35%
10.50%","-
-","- 18.36%
- 10.50%",
,,"4,206,965",,-,,"4,206,965",,,,10.50%,,,,
,,"210,943",,"8,959,800",,-,,,,7.44%,7.85%,-,- 7.86%,
,,"-
-",,"-
-",,"626,510
-",,,,17.94%,"18.38%
14.50%","-
-","- 18.42%
- 14.50%",
,,-,,-,,-,,,,14.50%,,,,
,,-,,-,,-,,,,3.44%,3.88%,-,- 3.92%,
,,"18,814,469",,"370,187","160,508","23,816,397",,,,16.22%,"15.72%
19.27%
19.30%","-
-
-","- 16.59%
- 18.75%
- 18.81%",
,,"488,244,719","468,090,771","9,329,987","10,477,839","537,239,953","513,101,008",,,,,,,
,,,"10,859,384
33,406,022
-
27,912,775
-
464,598
6,000,000
-",,"8,237,598
21,424,322
-
27,215,242
-
-",,"8,237,598
21,424,322
-
44,201,725
323,044
(30,512)
3,706,918
-",,,18.41%,,,,
,,"10,859,384",,"8,237,598",,"8,237,598",,,,,,,,
,,"33,406,022",,"21,424,322",,"21,424,322",,,,,,,,
,,-,,-,,-,,,,18.41%,,,,
,,"32,984,679",,"31,879,875",,"51,269,592",,,,,,,,
,,-,,-,,-,,,,,"60.64%
20.00%","-
-","- 53.20%
- 20.00%",
,,"(1,923,616)",,-,,"(2,216,739)",,,,55.61%,,,,
,,"3,706,918",,"3,706,918","3,706,918
-","3,706,918",,,,,,,,
,,,,,,,,,,20.00%,,,,
,,-,,-,,-,,,,,,,,
,,"79,033,387","78,642,779","65,248,713","60,584,080
-","82,421,691","77,863,095
123,934",,,35.61%,40.64%,-,- 33.20%,
,,-,,-,,-,,,,,,,,
,,"79,033,387","78,642,779","65,248,713","60,584,080","82,421,691","77,987,029",,,,,,,
,,"567,278,106","546,733,550","74,578,700","71,061,919","619,661,644","591,088,037",,,,,,,
II,STATEMENT OF COMPREHENSIVE INCOME,,,,,,,,,,,,,
