"155,279",")028,787(","137,481","979,39","017,872",")934,25(",")276,062,4(",")104,430,4(",")098,715,1(",")192,255,5("
"844,785,4",")006,208,1(","848,487,2","021,290,1","869,678,3",")161,379(",")164,705(","643,693,2",-,"643,693,2"
"114,987,4",")179,986,1(","044,990,3","886,604","821,605,3",-,")117,311(","714,293,3",-,"714,293,3"
"470,316,7",")779,547,2(","790,768,4","264,676","955,345,5",")521,452,1(",")662,092(","861,999,3",-,"861,999,3"
