Column,Column,REVENUE,% CONTRIBUTION,EFFICIENCY,RETURNS*
,,TOTALINCOME,,COST TO INCOMERATIO,RETURN ON AVERAGEEQUITY
"s
e
i
r
a
i
d
i
s
b
u
S
g
n
i
k
n
a
B",NCBAK,"59.9Bn
KES",81.1%,49.4%,18.9%
,NCBAU,"4.0Bn
KES",5.9%,60.5%,16.4%
,NCBAT,"2.7Bn
KES",4.0%,75.7%,21.8%
,NCBAR,"2.5Bn
KES",3.9%,62.9%,"20.5
%"
Non-Bank Subsidiaries,,"3.4Bn
KES",5.1%,"44.2
%","31.0
%"
Group,,"73.3Bn
KES",,52.3%,"19.7
%"
